PassengerId,Survived,Age,Fare,Pclass_2,Pclass_3,Sex_male,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,SibSp_8,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Embarked_Q,Embarked_S
1,0,22.0,7.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,38.0,71.2833,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,26.0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,35.0,53.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,35.0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,25.0,8.4583,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0,54.0,51.8625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0,2.0,21.075,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
9,1,27.0,11.1333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10,1,14.0,30.0708,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,4.0,16.7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
12,1,58.0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,20.0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,0,39.0,31.275,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
15,0,14.0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1,55.0,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,0,2.0,29.125,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
18,1,29.0,13.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,0,31.0,18.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1,25.0,7.225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,35.0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,1,34.0,13.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1,15.0,8.0292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,1,28.0,35.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,0,8.0,21.075,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
26,1,38.0,31.3875,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
27,0,25.0,7.225,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,19.0,263.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
29,1,25.0,7.8792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,0,25.0,7.8958,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,0,40.0,27.7208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,38.0,146.5208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,25.0,7.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,0,66.0,10.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,0,28.0,82.1708,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,42.0,52.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
37,1,25.0,7.2292,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,21.0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,0,18.0,18.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
40,1,14.0,11.2417,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,40.0,9.475,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
42,0,27.0,21.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
43,0,25.0,7.8958,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,3.0,41.5792,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
45,1,19.0,7.8792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,0,25.0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,0,25.0,15.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
48,1,25.0,7.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,0,25.0,21.6792,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,0,18.0,17.8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
51,0,7.0,39.6875,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
52,0,21.0,7.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,1,49.0,76.7292,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,29.0,26.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
55,0,65.0,61.9792,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,1,38.0,35.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,1,21.0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,0,28.5,7.2292,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,5.0,27.75,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
60,0,11.0,46.9,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
61,0,22.0,7.2292,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,45.0,83.475,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
64,0,4.0,27.9,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
65,0,38.0,27.7208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,25.0,15.2458,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
67,1,29.0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,0,19.0,8.1583,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,1,17.0,7.925,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
70,0,26.0,8.6625,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
71,0,32.0,10.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,0,16.0,46.9,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
73,0,21.0,73.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,0,26.0,14.4542,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,32.0,56.4958,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,0,25.0,7.65,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,0,25.0,7.8958,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,0,25.0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,1,0.83,29.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
80,1,30.0,12.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,0,22.0,9.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,1,29.0,9.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,1,25.0,7.7875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,0,28.0,47.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,1,17.0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,1,33.0,15.85,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
87,0,16.0,34.375,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
88,0,25.0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,1,23.0,263.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
90,0,24.0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,0,29.0,8.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
